547.395	529.844
714.675	587.701
583.646	530.904
715.84	595.991
524.249	509.162
459.078	431.503
500.359	464.695
293.106	559.115
533.779	491.762
612.018	501.011
541.628	464.463
616.688	494.961
588.562	466.527
560.525	519.545
533.472	409.486
547.395	504.673
534.994	488.453
702.175	692.839
513.154	515.115
699.479	606.043
523.176	522.848
667.175	542.958
594.578	560.695
653.931	532.665
536.957	519.046
654.632	513.674
661.463	523.952
628.575	526.32
497.691	483.771
487.513	527.764
470.092	448.05
534.54	562.136
476.132	456.3
376.635	389.003
590.927	562.894
554.886	509.944
561.767	510.686
541.922	506.753
509.944	459.069
612.59	584.212
668.988	737.643
733.634	662.361
656.529	584.028
682.506	573.979
543.016	519.084
742.845	599.699
868.854	902.02
680.437	545.458
635.943	589.5
494.59	612.815
765.002	639.255
681.503	667.239
633.518	524.236
770.203	524.197
465.304	429.227
581.174	553.51
549.725	566.599
763.161	597.248
624.573	480.742
654.46	566.599
539.726	493.722
534.75	453.88
818.165	633.645
810.502	650.03
616.349	642.956
554.581	566.592
671.096	543.197
511.583	503.624
658.654	614.611
677.415	564.437
545.259	572.111
615.653	643.909
506.346	450.734
819.888	596.986
996.535	772.385
876.679	604.969
953.77	661.15
773.635	500.126
467.504	439.716
673.838	592.16
754.669	687.609
506.6	540.104
723.033	593.836
730.791	615.236
757.949	584.365
698.9	691.498
602.998	584.797
928.595	660.313
580.512	512.577
752.275	611.499
777.928	716.837
835.6	718.959
653.247	611.342
644.656	561.982
425.099	430.988
483.999	420.52
433.464	403.288
982.337	976.855
701.579	626.111
633.872	586.118
785.286	602.226
749.179	589.575
503.178	433.39
755.985	636.925
654.65	595.13
764.499	736.315
726.103	614.396
564.615	510.257
616.642	561.083
586.071	516.441
569.189	632.182
657.247	603.078
566.988	528.598
740.077	648.518
539.48	526.067
585.106	521.015
822.816	722.717
523.846	501.159
518.725	520.715
650.886	553.336
804.113	588.309
557.759	497.168
521.661	434.249
978.941	701.379
587.812	532.587
735.781	593.775
470.239	513.764
583.768	529.28
563.634	538.477
819.321	589.249
787.351	552.778
864.595	680.743
597.449	674.741
